,artist_no_tags,artistGGL,website
242,"Serina Serjama, in collaboration with Women Rising San Jos├⌐ and Heart of Chaos","['https://www.facebook.com/SerinaSerjama', 'https://www.facebook.com/WomenRisingSJ/', 'https://www.facebook.com/HeartofChaosArtisanCollective','http://heartofchaos.net/','https://womenrising.wordpress.com/']","['https://www.facebook.com/SerinaSerjama', 'https://www.facebook.com/WomenRisingSJ/', 'https://www.facebook.com/HeartofChaosArtisanCollective','http://heartofchaos.net/','https://womenrising.wordpress.com/']"
243,Brian Brush,['http://www.brianbrush.com/'],
244,Sean Boyles,https://www.instagram.com/seanboyles38th/,https://www.instagram.com/seanboyles38th/
245,Anna Valentina Murch and Doug Hollis,"['https://en.wikipedia.org/wiki/Anna_Valentina_Murch','http://www.doxastic.com/douglas/']",
246,Robert Graham,['http://www.robertgraham-artist.com/'],
247,Ries Niemi,['http://www.riesniemi.com/'],
248,"MMAP (Mural Music and Arts Project), lead artist: Omar Ramirez, and students, staff and community members",http://www.muralmusicarts.org/,http://www.muralmusicarts.org/
249,Peter Molica,[ 'http://www.petermollica.com/'],
250,"MMAP (Mural Music and Arts Project) team, including Sarah Woodward, Scape Martinez, Laura Nagle and Yetunde Olagbaju; Randy Reynolds and NVIDIA volunteers","['http://www.muralmusicarts.org/', 'http://www.scapemartinez.com/']",http://www.muralmusicarts.org/
251,Dan Corson,['http://dancorson.com/'],
252,Roman de Salvo,['https://en.wikipedia.org/wiki/Roman_De_Salvo'],
253,"Paul J. Gonzalez, Monika Rose and Chris Carrillo","['http://www.monikarose.com/','http://www.pauljgonzalezartstudios.com/']",http://www.pauljgonzalezartstudios.com/
254,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
255,CoLab Studio - Matthew and Maria Salenger,['http://www.colabstudio.com/'],
256,Tony May,['http://www.tonymay.net/'],
257,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
258,Bill Gould and Glen Rogers,['https://www.glenrogersart.com/about'],
259,Mike Borja and Freddie Vega,"['http://mikeborja.tumblr.com/','http://freddievega.tumblr.com/', 'https://www.instagram.com/upbeat111/']","['http://mikeborja.tumblr.com/', 'https://www.instagram.com/upbeat111/']"
260,Alan Counihan,['http://www.alancounihan.net/'],
261,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
262,Catherine Wagner,['http://www.catherinewagner.org'],
263,"Jesus Rodriguez, William Moran, Abel Gonzalez, John Barrick, Ivan Gonzalez, Emillo Gallegos and Tamiko Rast",[],
264,Maria Alguilar (copy),['https://en.wikipedia.org/wiki/Maria_Alquilar'],
265,Poesia,['http://poesiatranscend.com/'],http://poesiatranscend.com/
266,Carlos Rodriguez and James Lick High School students,['https://www.carlosrodriguezart.com/'],https://www.carlosrodriguezart.com/
267,Paul J. Gonzalez,http://www.pauljgonzalezartstudios.com/,http://www.pauljgonzalezartstudios.com/
268,Freya Bardell and Brian Howe (Greenmeme Studio),['https://greenmeme.com'],
269,Cork Marchesci,['https://www.corkmarcheschi.com/'],
